GeneID	IDG	CYTO_NUC	ER_GOLGI	MitoCarta	MitoCarta_Pathways	SurfaceLabel	CellMembrane	MATRISOME	SECRETED	glycomineN	glycomineO	IO	GeneSymbol
1	Tbio								SECRETED	N			A1BG
2	Tbio							ASSOCIATED	SECRETED	N	O		A2M
9	Tchem												NAT1
10	Tbio					nonsurface							NAT2
12	Tbio	NUCLEUS						ASSOCIATED	SECRETED	N			SERPINA3
13	Tbio					nonsurface							AADAC
14	Tbio						Cell Membrane						AAMP
15	Tbio	CYTOPLASM									O		AANAT
16	Tbio	CYTOPLASM											AARS
18	Tclin			Matrix	Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins								ABAT
19	Tclin		GOLGI			surface				N			ABCA1
20	Tbio					surface				N			ABCA2
21	Tbio					surface							ABCA3
22	Tbio			MIM	Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Small molecule transport > ABC transporters	nonsurface							ABCB7
23	Tbio												ABCF1
24	Tbio					surface				N			ABCA4
25	Tclin	BOTH									O		ABL1
26	Tchem								SECRETED	N			AOC1
27	Tchem												ABL2
28	Tbio		GOLGI			nonsurface			SECRETED	N			ABO
29	Tbio												ABR
30	Tbio			unknown	Metabolism > Lipid metabolism	nonsurface							ACAA1
31	Tchem			Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Vitamin metabolism > Biotin utilizing proteins								ACACA
32	Tchem	NUCLEUS		MOM	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins						O		ACACB
33	Tbio			MIM	Metabolism > Lipid metabolism > Fatty acid oxidation								ACADL
34	Tbio	NUCLEUS		Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation								ACADM
35	Tbio	NUCLEUS		Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation								ACADS
36	Tbio			Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism								ACADSB
37	Tbio	NUCLEUS		MIM	Metabolism > Lipid metabolism > Fatty acid oxidation								ACADVL
38	Tchem			Matrix	Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism								ACAT1
39	Tchem	BOTH											ACAT2
40	Tchem					nonsurface	Cell Membrane			N			ASIC2
41	Tchem		GOLGI			surface	Cell Membrane			N			ASIC1
43	Tclin	NUCLEUS	GOLGI			surface	Cell Membrane		SECRETED	N			ACHE
47	Tchem			Matrix	Metabolism > Carbohydrate metabolism > TCA-associated								ACLY
48	Tbio	CYTOPLASM	BOTH										ACO1
49	Tchem	NUCLEUS											ACR
50	Tbio			Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins								ACO2
51	Tbio	NUCLEUS											ACOX1
52	Tchem	CYTOPLASM											ACP1
53	Tbio					surface				N			ACP2
54	Tbio												ACP5
55	Tchem	NUCLEUS					Cell Membrane		SECRETED	N			ACPP
56	Tbio												ACRV1
58	Tbio												ACTA1
59	Tbio	CYTOPLASM											ACTA2
60	Tbio	BOTH											ACTB
70	Tbio	CYTOPLASM											ACTC1
71	Tbio	NUCLEUS											ACTG1
72	Tbio	CYTOPLASM											ACTG2
81	Tbio	BOTH								N	O		ACTN4
86	Tbio	NUCLEUS											ACTL6A
87	Tbio	CYTOPLASM					Cell Membrane			N			ACTN1
88	Tbio									N			ACTN2
89	Tbio												ACTN3
90	Tchem					surface					O		ACVR1
91	Tchem					surface	Cell Membrane			N	O		ACVR1B
92	Tchem	CYTOPLASM				surface				N			ACVR2A
93	Tchem	CYTOPLASM				surface	Cell Membrane			N			ACVR2B
94	Tchem					surface				N	O		ACVRL1
95	Tbio												ACY1
97	Tdark												ACYP1
98	Tbio												ACYP2
100	Tclin						Cell Membrane			N	O		ADA
101	Tchem	CYTOPLASM				surface		ASSOCIATED		N	O		ADAM8
102	Tchem	BOTH	GOLGI			surface	Cell Membrane	ASSOCIATED		N			ADAM10
103	Tbio	BOTH									O		ADAR
104	Tbio	BOTH											ADARB1
105	Tbio	BOTH											ADARB2
107	Tchem	BOTH											ADCY1
108	Tbio	CYTOPLASM				surface				N			ADCY2
109	Tbio	CYTOPLASM	GOLGI			surface				N			ADCY3
111	Tchem					surface	Cell Membrane				O		ADCY5
112	Tchem					surface	Cell Membrane						ADCY6
113	Tbio					surface							ADCY7
114	Tbio												ADCY8
115	Tbio					surface				N			ADCY9
116	Tbio								SECRETED				ADCYAP1
117	Tchem					surface	Cell Membrane			N			ADCYAP1R1
118	Tbio	BOTH					Cell Membrane				O		ADD1
119	Tbio						Cell Membrane						ADD2
120	Tbio						Cell Membrane						ADD3
123	Tbio	NUCLEUS	ENDORETICULUM							N	O		PLIN2
124	Tclin												ADH1A
125	Tclin												ADH1B
126	Tclin												ADH1C
127	Tbio	NUCLEUS											ADH4
128	Tchem												ADH5
130	Tbio												ADH6
131	Tchem									N			ADH7
132	Tchem	NUCLEUS											ADK
133	Tbio	CYTOPLASM							SECRETED		O		ADM
134	Tclin		ENDORETICULUM			surface	Cell Membrane						ADORA1
135	Tclin					surface	Cell Membrane			N	O	IO	ADORA2A
136	Tclin					surface	Cell Membrane			N			ADORA2B
140	Tchem					surface	Cell Membrane			N			ADORA3
141	Tbio												ADPRH
142	Tclin	NUCLEUS											PARP1
143	Tchem	BOTH									O		PARP4
146	Tclin					surface	Cell Membrane			N			ADRA1D
147	Tclin	BOTH				surface	Cell Membrane			N			ADRA1B
148	Tclin	BOTH				surface	Cell Membrane			N	O		ADRA1A
150	Tclin	CYTOPLASM				surface	Cell Membrane			N	O		ADRA2A
151	Tclin					surface	Cell Membrane						ADRA2B
152	Tclin	CYTOPLASM				surface	Cell Membrane						ADRA2C
153	Tclin					surface	Cell Membrane				O		ADRB1
154	Tclin	NUCLEUS				surface	Cell Membrane			N	O		ADRB2
155	Tclin					surface	Cell Membrane						ADRB3
156	Tchem	CYTOPLASM											ADRBK1
157	Tchem												ADRBK2
158	Tbio												ADSL
159	Tchem	CYTOPLASM											ADSS
160	Tbio						Cell Membrane				O		AP2A1
161	Tbio						Cell Membrane				O		AP2A2
162	Tbio		GOLGI								O		AP1B1
163	Tbio						Cell Membrane				O		AP2B1
164	Tbio	CYTOPLASM	GOLGI								O		AP1G1
165	Tbio	BOTH						CORE	SECRETED	N			AEBP1
166	Tbio	NUCLEUS											AES
167	Tbio	NUCLEUS								N			CRISP1
173	Tbio								SECRETED	N			AFM
174	Tbio								SECRETED	N			AFP
175	Tbio	CYTOPLASM	ENDORETICULUM										AGA
176	Tbio							CORE					ACAN
177	Tchem					surface	Cell Membrane		SECRETED	N	O		AGER
178	Tbio	BOTH									O		AGL
181	Tbio								SECRETED				AGRP
182	Tbio					surface				N	O	IO	JAG1
183	Tbio							ASSOCIATED	SECRETED	N	O		AGT
185	Tclin					surface	Cell Membrane			N			AGTR1
186	Tchem					surface	Cell Membrane			N	O		AGTR2
187	Tchem					surface	Cell Membrane			N			APLNR
189	Tbio			Matrix	Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism								AGXT
190	Tbio	BOTH											NR0B1
191	Tchem	NUCLEUS											AHCY
196	Tchem	BOTH											AHR
197	Tbio		GOLGI						SECRETED	N			AHSG
199	Tbio	BOTH					Cell Membrane						AIF1
202	Tbio										O		AIM1
203	Tbio												AK1
204	Tbio			IMS	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing								AK2
205	Tbio			Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing								AK4
207	Tchem	BOTH					Cell Membrane				O		AKT1
208	Tchem	NUCLEUS					Cell Membrane						AKT2
210	Tbio	NUCLEUS											ALAD
211	Tbio			Matrix	Metabolism > Metals and cofactors > Heme synthesis and processing						O		ALAS1
212	Tbio			Matrix	Metabolism > Metals and cofactors > Heme synthesis and processing						O		ALAS2
213	Tchem	NUCLEUS	BOTH						SECRETED				ALB
214	Tbio					surface			SECRETED	N			ALCAM
215	Tbio	CYTOPLASM		Membrane	Small molecule transport > ABC transporters	nonsurface							ABCD1
216	Tchem	CYTOPLASM											ALDH1A1
217	Tclin			Matrix	Metabolism > Detoxification > Xenobiotic metabolism								ALDH2
218	Tchem		ENDORETICULUM										ALDH3A1
219	Tbio			Matrix	Metabolism > Detoxification > Xenobiotic metabolism								ALDH1B1
220	Tbio	BOTH											ALDH1A3
221	Tbio	CYTOPLASM					Cell Membrane						ALDH3B1
222	Tbio					nonsurface							ALDH3B2
223	Tbio	CYTOPLASM		Matrix	Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > ROS and glutathione metabolism								ALDH9A1
224	Tbio			Membrane	Metabolism > Detoxification > ROS and glutathione metabolism	nonsurface							ALDH3A2
225	Tbio			Membrane	Small molecule transport > ABC transporters	nonsurface							ABCD2
226	Tbio	NUCLEUS									O		ALDOA
229	Tbio												ALDOB
230	Tbio												ALDOC
231	Tclin									N			AKR1B1
238	Tclin					surface	Cell Membrane			N	O		ALK
239	Tchem	CYTOPLASM									O		ALOX12
240	Tclin												ALOX5
241	Tchem		ENDORETICULUM			nonsurface							ALOX5AP
242	Tbio												ALOX12B
244								ASSOCIATED					ANXA8L2
246	Tchem						Cell Membrane						ALOX15
247	Tchem	NUCLEUS					Cell Membrane						ALOX15B
248	Tbio					surface	Cell Membrane			N			ALPI
249	Tchem					surface	Cell Membrane			N			ALPL
250	Tbio					surface	Cell Membrane			N			ALPP
251	Tchem					surface	Cell Membrane			N			ALPPL2
257	Tbio	NUCLEUS											ALX3
258	Tbio							CORE	SECRETED				AMBN
259	Tbio							ASSOCIATED	SECRETED	N			AMBP
262	Tchem												AMD1
265	Tbio		GOLGI					CORE	SECRETED				AMELX
266	Tbio							CORE	SECRETED				AMELY
267	Tbio	NUCLEUS	BOTH			nonsurface							AMFR
